service_id,date,exception_type
UK003-10-1930122025-LVC#SHE,20251202,2
UK003-10-1930122025-LVC#SHE,20251203,2
UK003-10-1930122025-LVC#SHE,20251209,2
UK003-10-1930122025-LVC#SHE,20251210,2
UK003-5-1345122025-SHE#LVC,20251202,2
UK003-5-1345122025-SHE#LVC,20251203,2
UK003-5-1345122025-SHE#LVC,20251209,2
UK003-5-1345122025-SHE#LVC,20251210,2
UK004-14-1630122025-LVC#NBBS,20251202,2
UK004-14-1630122025-LVC#NBBS,20251203,2
UK004-14-1630122025-LVC#NBBS,20251209,2
UK004-14-1630122025-LVC#NBBS,20251210,2
UK004-19-2100122025-NBBS#LVC,20251202,2
UK004-19-2100122025-NBBS#LVC,20251203,2
UK004-19-2100122025-NBBS#LVC,20251209,2
UK004-19-2100122025-NBBS#LVC,20251210,2
UK004-2-0630122025-LVC#NBBS,20251202,2
UK004-2-0630122025-LVC#NBBS,20251203,2
UK004-2-0630122025-LVC#NBBS,20251209,2
UK004-2-0630122025-LVC#NBBS,20251210,2
UK004-7-1115112025-NBBS#LVC,20251113,2
UK004-7-1115122025-NBBS#LVC,20251202,2
UK004-7-1115122025-NBBS#LVC,20251203,2
UK004-7-1115122025-NBBS#LVC,20251205,2
UK004-7-1115122025-NBBS#LVC,20251209,2
UK004-7-1115122025-NBBS#LVC,20251210,2
UK005-1-0600122025-LEC#LVC,20251202,2
UK005-1-0600122025-LEC#LVC,20251203,2
UK005-1-0600122025-LEC#LVC,20251209,2
UK005-1-0600122025-LEC#LVC,20251210,2
UK005-13-1430122025-LEC#LVC,20251202,2
UK005-13-1430122025-LEC#LVC,20251203,2
UK005-13-1430122025-LEC#LVC,20251209,2
UK005-13-1430122025-LEC#LVC,20251210,2
UK005-20-1830122025-LVC#LEC,20251202,2
UK005-20-1830122025-LVC#LEC,20251203,2
UK005-20-1830122025-LVC#LEC,20251209,2
UK005-20-1830122025-LVC#LEC,20251210,2
UK005-6-1030122025-LVC#LEC,20251202,2
UK005-6-1030122025-LVC#LEC,20251203,2
UK005-6-1030122025-LVC#LEC,20251209,2
UK005-6-1030122025-LVC#LEC,20251210,2
UK006-1-0615072025-CP#LGLC,20250715,2
UK006-1-0615072025-CP#LGLC,20250716,2
UK006-1-0615072025-CP#LGLC,20250722,2
UK006-1-0615072025-CP#LGLC,20250723,2
UK006-2-1030072025-LGLC#CP,20250715,2
UK006-2-1030072025-LGLC#CP,20250716,2
UK006-2-1030072025-LGLC#CP,20250722,2
UK006-2-1030072025-LGLC#CP,20250723,2
UK006-3-1415072025-CP#LGLC,20250715,2
UK006-3-1415072025-CP#LGLC,20250716,2
UK006-3-1415072025-CP#LGLC,20250722,2
UK006-3-1415072025-CP#LGLC,20250723,2
UK006-4-1900072025-LGLC#CP,20250715,2
UK006-4-1900072025-LGLC#CP,20250716,2
UK006-4-1900072025-LGLC#CP,20250722,2
UK006-4-1900072025-LGLC#CP,20250723,2
UK006-5-0815072025-CP#LGLC,20250715,2
UK006-5-0815072025-CP#LGLC,20250716,2
UK006-5-0815072025-CP#LGLC,20250722,2
UK006-5-0815072025-CP#LGLC,20250723,2
UK006-6-1230072025-LGLC#CP,20250715,2
UK006-6-1230072025-LGLC#CP,20250716,2
UK006-6-1230072025-LGLC#CP,20250722,2
UK006-6-1230072025-LGLC#CP,20250723,2
UK006-7-1615072025-CP#LGLC,20250715,2
UK006-7-1615072025-CP#LGLC,20250716,2
UK006-7-1615072025-CP#LGLC,20250722,2
UK006-7-1615072025-CP#LGLC,20250723,2
UK006-8-2100072025-LGLC#CP,20250715,2
UK006-8-2100072025-LGLC#CP,20250716,2
UK006-8-2100072025-LGLC#CP,20250722,2
UK006-8-2100072025-LGLC#CP,20250723,2
UK021-11-1210122025-LVP#LVC,20251202,2
UK021-11-1210122025-LVP#LVC,20251203,2
UK021-11-1210122025-LVP#LVC,20251209,2
UK021-11-1210122025-LVP#LVC,20251210,2
UK021-11-1210122025-LVP#LVC,20251216,2
UK021-11-1210122025-LVP#LVC,20251217,2
UK021-12-0600122025-LVC#LVP,20251202,2
UK021-12-0600122025-LVC#LVP,20251203,2
UK021-12-0600122025-LVC#LVP,20251209,2
UK021-12-0600122025-LVC#LVP,20251210,2
UK021-12-0600122025-LVC#LVP,20251216,2
UK021-12-0600122025-LVC#LVP,20251217,2
UK021-13-0540122025-LVP#LVC,20251202,2
UK021-13-0540122025-LVP#LVC,20251203,2
UK021-13-0540122025-LVP#LVC,20251209,2
UK021-13-0540122025-LVP#LVC,20251210,2
UK021-13-0540122025-LVP#LVC,20251216,2
UK021-13-0540122025-LVP#LVC,20251217,2
UK021-14-1300122025-LVC#LVP,20251202,2
UK021-14-1300122025-LVC#LVP,20251203,2
UK021-14-1300122025-LVC#LVP,20251209,2
UK021-14-1300122025-LVC#LVP,20251210,2
UK021-14-1300122025-LVC#LVP,20251216,2
UK021-14-1300122025-LVC#LVP,20251217,2
UK023-1-0500012026-MHI#LVC,20260108,2
UK023-1-0500122025-MHI#LVC,20251202,2
UK023-1-0500122025-MHI#LVC,20251203,2
UK023-1-0500122025-MHI#LVC,20251204,2
UK023-1-0500122025-MHI#LVC,20251209,2
UK023-1-0500122025-MHI#LVC,20251210,2
UK023-1-0500122025-MHI#LVC,20251211,2
UK023-1-0500122025-MHI#LVC,20251216,2
UK023-1-0500122025-MHI#LVC,20251217,2
UK023-1-0500122025-MHI#LVC,20251218,2
UK023-12-1200012026-LVC#MHI,20260108,2
UK023-12-1200122025-LVC#MHI,20251202,2
UK023-12-1200122025-LVC#MHI,20251203,2
UK023-12-1200122025-LVC#MHI,20251204,2
UK023-12-1200122025-LVC#MHI,20251209,2
UK023-12-1200122025-LVC#MHI,20251210,2
UK023-12-1200122025-LVC#MHI,20251211,2
UK023-12-1200122025-LVC#MHI,20251216,2
UK023-12-1200122025-LVC#MHI,20251217,2
UK023-12-1200122025-LVC#MHI,20251218,2
UK023-16-1400122025-LVC#MHI,20251202,2
UK023-16-1400122025-LVC#MHI,20251203,2
UK023-16-1400122025-LVC#MHI,20251209,2
UK023-16-1400122025-LVC#MHI,20251210,2
UK023-16-1400122025-LVC#MHI,20251216,2
UK023-16-1400122025-LVC#MHI,20251217,2
UK023-17-1250122025-MHI#LVC,20251208,2
UK023-17-1250122025-MHI#LVC,20251209,2
UK023-17-1250122025-MHI#LVC,20251210,2
UK023-17-1250122025-MHI#LVC,20251215,2
UK023-17-1250122025-MHI#LVC,20251216,2
UK023-17-1250122025-MHI#LVC,20251217,2
UK023-21-1450122025-MHI#LVC,20251202,2
UK023-21-1450122025-MHI#LVC,20251203,2
UK023-21-1450122025-MHI#LVC,20251209,2
UK023-21-1450122025-MHI#LVC,20251210,2
UK023-21-1450122025-MHI#LVC,20251216,2
UK023-21-1450122025-MHI#LVC,20251217,2
UK023-28-2030122025-LVC#MHI,20251208,2
UK023-28-2030122025-LVC#MHI,20251209,2
UK023-28-2030122025-LVC#MHI,20251210,2
UK023-28-2030122025-LVC#MHI,20251215,2
UK023-28-2030122025-LVC#MHI,20251216,2
UK023-28-2030122025-LVC#MHI,20251217,2
UK023-4-0800122025-LVC#MHI,20251202,2
UK023-4-0800122025-LVC#MHI,20251203,2
UK023-4-0800122025-LVC#MHI,20251209,2
