trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
UK090-161-2335102025-GAS#LVDP-00,9b6a7745-3ecb-11ea-8017-02437075395e,23:35:00,23:35:00,,1,,,0,0,
UK090-161-2335102025-GAS#LVDP-00,670719ca-3cf0-409d-99e3-9092354d1feb,23:53:00,23:53:00,,2,,,0,0,
UK090-161-2335102025-GAS#LVDP-00,017f7dd6-9b2e-4439-8e8f-b03afad6e999,24:05:00,24:05:00,,3,,,0,0,
UK090-161-2335102025-GAS#LVDP-00,d173639f-74e7-43ff-b75f-48dc4f77c461,24:17:00,24:17:00,,4,,,0,0,
UK004-13-1535122026-NBBS#LVC-00,10352854-fe0b-455e-8f3e-2cdae567f9de,15:35:00,15:35:00,,1,,,0,0,
UK004-13-1535122026-NBBS#LVC-00,89251c5e-72da-49e5-9077-e8549874c710,15:45:00,15:45:00,,2,,,0,0,
UK004-13-1535122026-NBBS#LVC-00,ac6eb6fd-bac5-406f-8af4-1eeb5d08c3d8,18:15:00,18:15:00,,3,,,0,0,
UK004-13-1535122026-NBBS#LVC-00,dcc0f769-9603-11e6-9066-549f350fcb0c,18:50:00,18:50:00,,4,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,9b6a4a2b-3ecb-11ea-8017-02437075395e,05:20:00,05:20:00,,1,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,540d384c-569c-4c00-91c0-9e58ac4a3dc8,05:25:00,05:30:00,,2,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,cab329fd-7882-4cc0-a292-d796d45b7036,06:25:00,06:30:00,,3,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,9b6a34b8-3ecb-11ea-8017-02437075395e,06:40:00,06:50:00,,4,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,7ff507a5-7bcd-4a6c-91fa-5ca24f1c36d1,08:15:00,08:20:00,,5,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,9b6b5cfc-3ecb-11ea-8017-02437075395e,09:20:00,09:25:00,,6,,,0,0,
UK900-2-0520092025-LGWS#NBBS-00,10352854-fe0b-455e-8f3e-2cdae567f9de,10:20:00,10:20:00,,7,,,0,0,
UK090-69-2305122025-GAS#EBSA-00,d9c5d2d7-2656-485c-968a-35ae34373143,00:15:00,00:15:00,,1,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,9b6a7745-3ecb-11ea-8017-02437075395e,16:05:00,16:05:00,,1,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,670719ca-3cf0-409d-99e3-9092354d1feb,16:24:00,16:24:00,,2,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,017f7dd6-9b2e-4439-8e8f-b03afad6e999,16:40:00,16:40:00,,3,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,d173639f-74e7-43ff-b75f-48dc4f77c461,16:53:00,16:53:00,,4,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,1681b816-dfca-44d6-ac73-0c637003dac8,17:03:00,17:03:00,,5,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,a4665030-86f1-4a95-bbc4-182d105de252,17:16:00,17:16:00,,6,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,548a39c0-1bf0-43f3-94e4-33f9f13e38c7,17:20:00,17:20:00,,7,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,3e31b122-2f63-466c-80d6-acfa5765e5c5,17:26:00,17:26:00,,8,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,67267006-b114-42ae-9626-9c3be6410343,17:31:00,17:31:00,,9,,,0,0,
UK090-105-1605072025-GAS#EBSA-00,d9c5d2d7-2656-485c-968a-35ae34373143,17:39:00,17:39:00,,10,,,0,0,
UK010-2-0730122026-LVC#GAS-00,dcc0f769-9603-11e6-9066-549f350fcb0c,07:30:00,07:30:00,,1,,,0,0,
UK010-2-0730122026-LVC#GAS-00,ac6eb6fd-bac5-406f-8af4-1eeb5d08c3d8,08:00:00,08:00:00,,2,,,0,0,
UK010-2-0730122026-LVC#GAS-00,9b69e4e3-3ecb-11ea-8017-02437075395e,10:00:00,10:05:00,,3,,,0,0,
UK010-2-0730122026-LVC#GAS-00,9b6bdb9a-3ecb-11ea-8017-02437075395e,11:25:00,11:30:00,,4,,,0,0,
UK010-2-0730122026-LVC#GAS-00,0684b6e9-fa7e-47ec-8ce4-cf249b1cda73,12:15:00,12:20:00,,5,,,0,0,
UK010-2-0730122026-LVC#GAS-00,9b69e57e-3ecb-11ea-8017-02437075395e,14:15:00,14:20:00,,6,,,0,0,
UK010-2-0730122026-LVC#GAS-00,9b69e59a-3ecb-11ea-8017-02437075395e,14:50:00,14:55:00,,7,,,0,0,
UK010-2-0730122026-LVC#GAS-00,9b6b86e6-3ecb-11ea-8017-02437075395e,17:35:00,17:45:00,,8,,,0,0,
UK010-2-0730122026-LVC#GAS-00,9b6a7745-3ecb-11ea-8017-02437075395e,19:00:00,19:00:00,,9,,,0,0,
UK041-12-1700012026-LVC#BRSS-00,dcc0f769-9603-11e6-9066-549f350fcb0c,17:00:00,17:00:00,,1,,,0,0,
UK041-12-1700012026-LVC#BRSS-00,9b6be28f-3ecb-11ea-8017-02437075395e,19:55:00,19:55:00,,2,,,0,0,
UK041-12-1700012026-LVC#BRSS-00,bd941607-60eb-4daf-bc81-297dc4fffed9,20:10:00,20:10:00,,3,,,0,0,
UK006-5-0815082025-CP#LGLC-00,0ce00a09-5d1d-49a1-b90a-d7306b541d75,08:15:00,08:15:00,,1,,,0,0,
UK006-5-0815082025-CP#LGLC-00,a0a50227-d81d-4431-aebc-78626e527511,08:25:00,08:30:00,,2,,,0,0,
UK006-5-0815082025-CP#LGLC-00,11f8b58f-689f-4c54-ac07-c95455687713,09:20:00,09:25:00,,3,,,0,0,
UK006-5-0815082025-CP#LGLC-00,ac6eb6fd-bac5-406f-8af4-1eeb5d08c3d8,10:35:00,10:35:00,,4,,,0,0,
UK006-5-0815082025-CP#LGLC-00,92c70be2-fe79-40d5-acbf-6dc955a7a6e4,11:10:00,11:10:00,,5,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,c00d2369-7d79-4c1c-96cb-469734b50351,06:45:00,06:45:00,,1,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,9b6b7d12-3ecb-11ea-8017-02437075395e,07:15:00,07:20:00,,2,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,bd941607-60eb-4daf-bc81-297dc4fffed9,08:05:00,08:15:00,,3,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,9b6a34b8-3ecb-11ea-8017-02437075395e,10:15:00,10:25:00,,4,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,cab329fd-7882-4cc0-a292-d796d45b7036,10:35:00,10:40:00,,5,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,540d384c-569c-4c00-91c0-9e58ac4a3dc8,11:30:00,11:35:00,,6,,,0,0,
UK940-5-0645112025-CDNR#LGWS-00,9b6a4a2b-3ecb-11ea-8017-02437075395e,11:40:00,11:40:00,,7,,,0,0,
UK910-18-1445072025-BRS#SWS-00,4fddbb4a-7106-4de9-bcea-5a0db9f71873,14:45:00,14:45:00,,1,,,0,0,
UK910-18-1445072025-BRS#SWS-00,9b6b7d12-3ecb-11ea-8017-02437075395e,15:50:00,15:55:00,,2,,,0,0,
UK910-18-1445072025-BRS#SWS-00,c00d2369-7d79-4c1c-96cb-469734b50351,16:25:00,16:30:00,,3,,,0,0,
UK910-18-1445072025-BRS#SWS-00,f3c3dfb2-35fa-49b0-b0df-332223447b15,17:05:00,17:05:00,,4,,,0,0,
UK910-18-1445072025-BRS#SWS-00,d73540ae-d2fb-4671-b368-c8f0dc711a27,17:40:00,17:40:00,,5,,,0,0,
UK910-18-1445072025-BRS#SWS-00,9b6b7cd7-3ecb-11ea-8017-02437075395e,17:50:00,17:50:00,,6,,,0,0,
UK005-20-1830122026-LVC#LEC-00,dcc0f769-9603-11e6-9066-549f350fcb0c,18:30:00,18:30:00,,1,,,0,0,
UK005-20-1830122026-LVC#LEC-00,ac6eb6fd-bac5-406f-8af4-1eeb5d08c3d8,19:10:00,19:10:00,,2,,,0,0,
UK005-20-1830122026-LVC#LEC-00,9b69e4e3-3ecb-11ea-8017-02437075395e,21:10:00,21:15:00,,3,,,0,0,
UK005-20-1830122026-LVC#LEC-00,9b6b5cfc-3ecb-11ea-8017-02437075395e,21:35:00,21:35:00,,4,,,0,0,
UK007-4-1820122026-LSTR#NBS-00,9b6a8a0d-3ecb-11ea-8017-02437075395e,18:20:00,18:20:00,,1,,,0,0,
UK007-4-1820122026-LSTR#NBS-00,3effb925-b5be-4661-bc6f-6b309d8d2219,20:05:00,20:10:00,,2,,,0,0,
UK007-4-1820122026-LSTR#NBS-00,cadb0a48-2fb7-4dad-93d6-3c97dc7c268c,20:55:00,20:55:00,,3,,,0,0,
UK007-4-1820122026-LSTR#NBS-00,5f9e52a8-4987-491d-91bd-a213d27a5bc3,21:10:00,21:10:00,,4,,,0,0,
UK090-73-1305012026-GAS#EDI-00,9b6a7745-3ecb-11ea-8017-02437075395e,13:05:00,13:05:00,,1,,,0,0,
UK090-73-1305012026-GAS#EDI-00,670719ca-3cf0-409d-99e3-9092354d1feb,13:24:00,13:24:00,,2,,,0,0,
UK090-73-1305012026-GAS#EDI-00,017f7dd6-9b2e-4439-8e8f-b03afad6e999,13:37:00,13:37:00,,3,,,0,0,
